lat,lon
22.83694,61.25976
20.05593,60.46875
16.63619,58.9746
13.66733,57.65625
10.40137,55.98632
7.53775,53.87691
4.82825,51.5039
2.37236,49.21875
0.43944,46.05468
-1.58183,42.80273
-3.68885,41.48437
-6.6646,41.2207
-9.79567,41.66015
-13.05806,41.69311
-15.8256,41.44031
-17.75004,39.38591
-19.48637,36.69409
-21.94304,35.77148
-24.62733,35.81546
