type,deaths,lat,lon
nationwide,48,6.7999,7.1484
nationwide,7,12.9631,13.6090
nationwide,9,12.3667,14.3500
nationwide,2,4.5333,6.4167
nationwide,13,11.2500,13.4167
nationwide,2,11.5206,14.0966
nationwide,2,5.1066,7.3667
nationwide,2,11.2500,13.4167
nationwide,16,11.2500,13.4167
nationwide,3,11.8464,13.1603
nationwide,5,7.4872,9.2369
nationwide,15,11.2500,13.4167
nationwide,11,11.0254,12.2603
nationwide,22,11.0983,12.7642
nationwide,13,11.9259,13.2306
nationwide,2,11.0983,12.7642
nationwide,5,10.6129,12.1946
nationwide,1,10.4100,6.3985
nationwide,5,11.2500,13.4167
nationwide,19,11.1036,13.7130
nationwide,3,11.6453,13.3463
nationwide,3,12.4930,13.2091
nationwide,9,11.0459,12.6460
nationwide,1,11.9944,8.5138
nationwide,2,11.5206,14.0966
nationwide,1,11.2500,13.4167
nationwide,2,11.1068,13.5087
nationwide,10,12.2153,14.1832
nationwide,4,11.7929,13.2511
nationwide,2,12.0464,14.4809
nationwide,6,11.2103,13.7935
nationwide,4,11.0983,12.7642
nationwide,4,11.3677,13.9547
nationwide,2,12.0464,14.4809
nationwide,18,10.8382,13.4009
nationwide,42,12.8493,14.2346
nationwide,10,12.0833,14.8333
nationwide,15,13.1930,13.6146
nationwide,4,11.0983,12.7642
nationwide,3,11.7719,13.7874
nationwide,2,12.3667,14.3500
nationwide,3,7.8188,9.2453
nationwide,1,7.7614,9.0875
nationwide,4,7.8878,9.5564
nationwide,5,7.8448,9.2017
nationwide,6,7.6892,9.2505
nationwide,2,12.0798,13.6730
nationwide,2,11.9846,13.6626
nationwide,2,11.9258,13.6056
nationwide,3,12.1753,13.5235
nationwide,2,11.5000,13.0000
nationwide,2,11.8464,13.1603
nationwide,3,11.1416,13.7749
nationwide,2,12.9428,13.1783
nationwide,5,12.6786,13.6079
nationwide,4,12.9631,13.6090
nationwide,1,12.7915,13.6743
nationwide,6,11.1560,12.7576
nationwide,3,11.7600,13.2661
nationwide,7,12.2830,14.4724
nationwide,18,12.2830,14.4724
nationwide,41,7.6299,9.6451
nationwide,2,7.6892,9.2505
nationwide,1,7.6892,9.2505
nationwide,2,7.6892,9.2505
nationwide,27,12.9631,13.6090
nationwide,10,7.6892,9.2505
nationwide,2,11.2500,13.4167
nationwide,2,11.6948,12.5807
nationwide,4,11.4043,14.1464
nationwide,3,11.5204,14.1820
nationwide,5,11.5000,13.0000
nationwide,42,12.9631,13.6090
nationwide,3,11.3100,14.1871
nationwide,9,11.1036,13.7130
nationwide,1,6.5833,3.7500
nationwide,2,11.2103,13.7935
nationwide,5,11.8991,13.2916
nationwide,20,9.4576,12.2265
nationwide,16,12.9631,13.6090
nationwide,2,12.5785,13.6173
nationwide,1,11.5206,14.0966
nationwide,7,12.1101,13.9895
nationwide,27,12.3731,14.2277
nationwide,6,10.9262,13.0229
nationwide,3,11.0461,14.1401
nationwide,17,2.0667,45.3667
nationwide,4,2.0667,45.3667
nationwide,0,3.0000,42.0000
nationwide,0,3.0000,42.0000
nationwide,0,3.0000,42.0000
nationwide,1,2.1500,45.1167
nationwide,0,2.3386,42.2856
nationwide,2,2.0667,45.3667
nationwide,8,2.8831,45.6569
nationwide,3,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,5,1.7131,44.7639
nationwide,1,1.7833,44.5333
nationwide,3,-0.2201,42.1959
nationwide,0,2.8111,45.3278
nationwide,0,-0.3582,42.5454
nationwide,0,4.8497,46.5215
nationwide,0,2.7667,45.5167
nationwide,1,2.0667,45.3667
nationwide,1,2.8111,45.3278
nationwide,1,2.0667,45.3667
nationwide,7,2.1500,45.1167
nationwide,1,2.1500,45.1167
nationwide,0,1.4167,42.4535
nationwide,0,1.7833,44.5333
nationwide,0,1.7131,44.7639
nationwide,0,1.6333,44.5333
nationwide,0,2.4486,41.9692
nationwide,0,4.2667,43.4833
nationwide,23,7.0000,48.0000
nationwide,0,2.6512,44.7898
nationwide,7,2.0667,45.3667
nationwide,4,3.3163,42.2209
nationwide,10,4.1167,43.9000
nationwide,23,2.0667,45.3667
nationwide,0,1.6333,44.5333
nationwide,30,3.1167,43.6500
nationwide,1,2.0667,45.3667
nationwide,5,2.0667,45.3667
nationwide,4,2.0905,45.1766
nationwide,2,2.0537,45.0548
nationwide,5,4.4802,47.9515
nationwide,7,-0.4902,42.1979
nationwide,6,4.1167,43.9000
nationwide,0,2.4486,41.9692
nationwide,0,3.2072,45.7593
nationwide,0,3.8500,45.5667
nationwide,150,3.5551,45.0559
nationwide,0,4.7358,45.2036
nationwide,3,2.0667,45.3667
nationwide,6,-0.3582,42.5454
nationwide,11,1.9833,44.8333
nationwide,0,4.0567,45.4663
nationwide,1,3.3163,42.2209
nationwide,5,3.1054,45.8524
nationwide,2,4.5268,45.3023
nationwide,0,3.3641,42.3511
nationwide,10,1.7833,44.5333
nationwide,1,2.3386,42.2856
nationwide,1,2.8667,43.0000
nationwide,4,-0.3582,42.5454
nationwide,3,0.5144,42.0732
nationwide,0,0.5144,42.0732
nationwide,22,7.9667,49.8500
nationwide,5,-1.1327,41.2218
nationwide,0,11.2847,49.1825
nationwide,2,7.8286,49.4883
nationwide,10,6.1131,47.9881
nationwide,4,8.6859,50.3627
nationwide,0,8.3537,50.1863
nationwide,0,2.0667,45.3667
nationwide,23,0.5144,42.0732
nationwide,13,-1.3007,41.4217
nationwide,1,2.0537,45.0548
nationwide,1,11.2847,49.1825
nationwide,3,-0.3582,42.5454
nationwide,20,10.0000,50.0000
nationwide,8,7.0000,48.0000
nationwide,8,6.7303,49.2025
nationwide,7,6.1785,48.6854
nationwide,10,6.7303,49.2025
nationwide,9,7.0576,47.1349
nationwide,9,6.1206,47.9526
nationwide,9,7.0000,48.0000
nationwide,0,2.9667,45.5333
nationwide,32,5.5019,46.3794
nationwide,1,2.0667,45.3667
nationwide,8,-1.0354,41.5005
nationwide,0,2.9558,45.5096
nationwide,0,5.5350,46.3861
nationwide,0,3.2333,43.1833
nationwide,6,2.0667,45.3667
nationwide,9,6.7697,47.4308
nationwide,23,0.0722,42.7506
nationwide,3,0.4958,42.7728
nationwide,1,2.3386,42.2856
nationwide,1,2.0667,45.3667
nationwide,3,-1.0332,41.4965
nationwide,1,0.4958,42.7728
nationwide,5,2.0667,45.3667
nationwide,0,2.1500,45.1167
nationwide,2,-0.3582,42.5454
nationwide,0,0.0722,42.7506
nationwide,2,2.0667,45.3667
nationwide,0,4.4849,46.6908
nationwide,6,1.8333,44.4167
nationwide,0,2.4105,42.9767
nationwide,4,4.6833,46.6167
nationwide,0,4.7358,45.2036
nationwide,4,2.0667,45.3667
nationwide,0,2.1500,45.1167
nationwide,0,2.1104,45.1565
nationwide,3,2.0667,45.3667
nationwide,6,0.4958,42.7728
nationwide,0,4.6333,46.1792
nationwide,7,2.0667,45.3667
nationwide,6,4.4849,46.6908
nationwide,6,5.0000,47.0000
nationwide,12,-0.1170,42.5634
nationwide,4,2.1500,45.1167
nationwide,0,2.7833,44.0833
nationwide,4,1.6333,44.5333
nationwide,0,3.1167,43.6500
nationwide,1,2.0667,45.3667
nationwide,0,2.0667,45.3667
nationwide,13,2.0667,45.3667
nationwide,0,3.1833,43.4000
nationwide,1,2.3386,42.2856
nationwide,0,2.0667,45.3667
nationwide,0,4.7358,45.2036
nationwide,6,2.9208,43.7053
nationwide,20,3.0500,43.8167
nationwide,2,-0.3582,42.5454
nationwide,0,2.8111,45.3278
nationwide,0,4.7358,45.2036
nationwide,20,3.5559,46.7721
nationwide,2,1.7833,44.5333
nationwide,2,2.3386,42.2856
nationwide,8,2.0667,45.3667
nationwide,2,2.0667,45.3667
nationwide,0,3.0000,46.0000
nationwide,15,4.0241,46.6178
nationwide,5,2.1500,45.1167
nationwide,5,3.8500,45.5667
nationwide,0,0.3046,41.4394
nationwide,9,3.8082,43.2476
nationwide,4,3.7782,46.2463
nationwide,0,2.0667,45.3667
nationwide,0,2.0667,45.3667
nationwide,5,4.2111,45.5633
nationwide,2,2.0667,45.3667
nationwide,1,4.1853,44.0535
nationwide,3,3.7782,46.2463
nationwide,4,2.7667,45.5167
nationwide,1,3.0000,42.0000
nationwide,0,-0.2495,42.6022
nationwide,21,0.2794,41.2697
nationwide,7,2.7352,41.0177
nationwide,0,1.7131,44.7639
nationwide,0,4.1167,43.9000
nationwide,2,2.0667,45.3667
nationwide,2,4.1167,43.9000
nationwide,2,10.9901,49.0552
nationwide,1,1.8333,44.4167
nationwide,4,-0.0720,42.5706
nationwide,20,2.0667,45.3667
nationwide,1,3.0000,43.5000
nationwide,0,2.0721,45.2232
nationwide,2,2.1500,45.1167
nationwide,7,-0.2201,42.1959
nationwide,0,-0.3582,42.5454
nationwide,0,2.4105,42.9767
nationwide,0,4.1167,43.9000
nationwide,0,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,2,2.0667,45.3667
nationwide,122,4.2111,45.5633
nationwide,4,2.1106,43.5233
nationwide,2,0.9833,42.6500
nationwide,1,2.0667,45.3667
nationwide,7,1.1133,44.0303
nationwide,0,5.0000,47.0000
nationwide,1,1.7131,44.7639
nationwide,7,3.7000,47.0167
nationwide,1,2.7667,45.5167
nationwide,1,2.0667,45.3667
nationwide,4,2.0667,45.3667
nationwide,0,5.0000,47.0000
nationwide,18,2.0667,45.3667
nationwide,4,4.3833,46.0833
nationwide,2,3.3182,43.4731
nationwide,1,2.0667,45.3667
nationwide,0,3.9293,41.8745
nationwide,0,2.9034,45.4368
nationwide,10,4.0241,46.6178
nationwide,18,2.1104,45.1565
nationwide,2,4.0000,45.5000
nationwide,1,2.0667,45.3667
nationwide,2,3.1167,43.6500
nationwide,2,4.6544,47.8575
nationwide,19,2.0537,45.0548
nationwide,2,8.2300,46.3300
nationwide,4,2.6719,41.3221
nationwide,5,2.3500,45.3833
nationwide,3,-0.0299,42.5995
nationwide,0,3.1532,41.3358
nationwide,2,2.4214,42.9287
nationwide,15,2.0164,45.3064
nationwide,5,4.2558,43.4705
nationwide,2,4.2111,45.5633
nationwide,3,1.7535,44.5595
nationwide,17,2.0667,45.3667
nationwide,3,2.1347,45.0561
nationwide,2,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,3,-0.2201,42.1959
nationwide,4,-0.6333,41.9833
nationwide,1,2.0667,45.3667
nationwide,1,1.6333,44.5333
nationwide,1,1.8087,44.7994
nationwide,2,2.7667,45.5167
nationwide,1,0.4958,42.7728
nationwide,0,2.1500,45.1167
nationwide,1,4.7358,45.2036
nationwide,15,1.6394,42.4522
nationwide,15,1.6394,42.4522
nationwide,1,2.0667,45.3667
nationwide,2,0.0050,42.6559
nationwide,3,-0.4902,42.1979
nationwide,0,2.1104,45.1565
nationwide,1,2.0667,45.3667
nationwide,4,-0.0720,42.5706
nationwide,20,6.7697,47.4308
nationwide,0,4.2558,43.4705
nationwide,8,3.3182,43.4731
nationwide,8,2.8667,43.0000
nationwide,1,2.0667,45.3667
nationwide,1,2.0667,45.3667
nationwide,3,2.0667,45.3667
nationwide,10,2.0667,45.3667
nationwide,2,2.0667,45.3667
nationwide,9,3.1689,42.4900
nationwide,0,2.1500,45.1167
nationwide,0,2.4833,43.3167
nationwide,28,2.0667,45.3667
nationwide,0,1.9991,44.9939
nationwide,0,2.0343,45.0244
nationwide,2,3.2200,42.3000
nationwide,1,4.7358,45.2036
nationwide,3,2.8111,45.3278
nationwide,0,4.0182,44.5127
nationwide,4,2.2505,44.6912
nationwide,4,2.0667,45.3667
nationwide,10,6.1785,48.6854
nationwide,2,1.7833,44.5333
nationwide,4,2.1500,45.1167
nationwide,1,1.9833,44.8333
nationwide,12,2.7352,41.0177
nationwide,9,2.0667,45.3667
nationwide,2,2.0667,45.3667
nationwide,0,-0.2495,42.6022
nationwide,0,0.0000,42.0000
nationwide,1,2.0667,45.3667
nationwide,0,4.7358,45.2036
nationwide,0,3.1532,41.3358
nationwide,2,-0.2324,41.9524
nationwide,0,1.7131,44.7639
nationwide,1,2.0667,45.3667
nationwide,13,6.7697,47.4308
nationwide,1,2.0667,45.3667
nationwide,7,0.7765,29.6466
nationwide,2,-1.2557,29.1252
nationwide,2,-1.1137,29.1080
nationwide,7,-1.2161,28.7447
nationwide,1,-1.1183,28.6542
nationwide,5,-9.6694,26.9077
nationwide,73,-0.9811,29.0717
nationwide,1,-0.9081,29.2030
nationwide,4,-0.9817,29.1113
nationwide,7,-0.9081,29.2030
nationwide,8,-0.9081,29.2030
nationwide,19,-6.4802,22.8570
nationwide,20,-6.0500,26.9167
nationwide,8,-5.9500,28.0167
nationwide,6,0.0549,29.1178
nationwide,1,1.5625,30.2484
nationwide,1,1.3605,29.7612
nationwide,3,2.0667,45.3667
nationwide,2,3.3163,42.2209
nationwide,7,0.0722,42.7506
nationwide,4,11.8464,13.1603
nationwide,1,2.0667,45.3667
nationwide,0,11.5861,13.0028
nationwide,3,13.6734,13.3388
nationwide,0,13.6734,13.3388
nationwide,40,13.6734,13.3388
nationwide,3,11.2500,13.4167
nationwide,300,13.4316,13.3132
nationwide,11,10.9879,12.7877
nationwide,3,9.4325,8.3537
nationwide,2,11.3264,13.9666
nationwide,1,6.3350,5.6275
nationwide,2,6.3350,5.6275
nationwide,0,2.8667,43.0000
nationwide,2,0.4958,42.7728
nationwide,5,3.1167,43.6500
nationwide,1,11.9007,14.0269
nationwide,1,11.1833,14.3167
nationwide,2,10.9535,14.1739
nationwide,6,11.0461,14.1401
nationwide,1,11.0917,14.2287
nationwide,1,11.1068,14.2056
nationwide,0,11.0000,14.5000
nationwide,0,12.4875,14.4450
nationwide,1,10.8935,12.6445
nationwide,12,2.1500,45.1167
nationwide,3,1.6394,42.4522
nationwide,2,2.0667,45.3667
nationwide,3,0.5144,42.0732
nationwide,1,2.0667,45.3667
nationwide,15,4.7358,45.2036
