World_port_index_number,Region_index,Main_port_name,Wpi_country_code,iso3,lat,lon,Publication,Chart,Harbor_2ize_code,First_port_of_e0tr1,Tugs_assist,Commu0icatio0s_air,Commu0icatio0s_rail,Medical_facilities,Supplies_provisio0s,Supplies_water,Supplies_fuel_oil,Supplies_diesel_oil,Drydock
45867,45860,BONTHE,SL,SLE,7.533333333,-12.5,143,51620,1,0,0,1,0,0,1,1,0,0,0
45818,45817,ST LOUIS,SN,SEN,16.01666667,-16.51666667,143,51481,2,0,0,0,1,1,1,1,0,0,0
45819,45817,M BAO OIL TERMINAL,SN,SEN,14.71666667,-17.4,143,51559,1,1,1,0,0,1,0,1,0,0,0
45820,45817,DAKAR,SN,SEN,14.68333333,-17.43333333,143,51559,3,1,1,1,1,1,1,1,1,1,2
45821,45817,RUFISQUE,SN,SEN,14.7,-17.28333333,143,51561,1,0,0,0,1,1,1,0,0,0,3
45822,45817,KARABANE,SN,SEN,12.56666667,-16.66666667,143,51560,1,0,0,0,0,0,0,0,0,0,0
45823,45817,LYNDIANE,SN,SEN,14.16666667,-16.16666667,143,51032,1,0,1,1,1,1,0,1,0,0,0
47130,47120,KISMAAYO,SO,SOM,-0.3666666667,42.55,171,61231,1,1,1,1,0,1,1,1,0,0,0
47140,47120,BARAAWE,SO,SOM,1.1,44.05,171,61240,1,0,0,0,0,1,1,1,1,0,0
47150,47120,MARKA,SO,SOM,1.716666667,44.78333333,171,61240,1,0,0,0,0,1,1,1,0,0,0
47160,47120,MUQDISHO,SO,SOM,2.033333333,45.35,171,61240,4,1,1,1,0,1,1,1,1,0,0
47820,47810,boss,SO,SOM,10.45,45.01666667,172,62091,2,1,0,1,0,1,0,1,0,0,0
47830,47810,BOOSAASO,SO,SOM,11.28333333,49.18333333,172,62070,2,0,0,0,0,0,0,0,0,0,0
46375,46370,SANTO ANTONIO,ST,STP,1.65,7.45,123,57170,1,0,0,1,0,1,0,0,0,0,0
46380,46370,SAO TOME,ST,STP,0.35,6.733333333,123,57143/80,1,1,0,1,1,1,0,0,0,0,0
46090,46080,LOME,TG,TGO,6.133333333,1.283333333,123,57102,3,1,1,1,1,1,0,1,1,1,1
46095,46080,KPEME,TG,TGO,6.2,1.516666667,123,57102,1,1,0,0,1,0,0,0,0,0,0
46970,46965,MIKINDANI,TZ,TZA,-10.26666667,40.13333333,171,61181,1,0,1,0,0,0,0,0,0,0,0
46975,46965,MTWARA,TZ,TZA,-10.26666667,40.2,171,61181,1,0,1,1,0,1,0,1,0,0,0
47000,46965,KILWA KIVINJE,TZ,TZA,-8.733333333,39.41666667,171,61190,1,0,0,1,0,0,1,1,0,0,0
47005,46965,MJIMWEMA TERMINAL,TZ,TZA,-6.816666667,39.36666667,171,61191,1,0,0,1,0,1,1,1,1,0,0
47010,46965,DAR ES SALAAM,TZ,TZA,-6.816666667,39.3,171,61191,3,1,1,1,1,1,1,1,1,1,0
47020,46965,CHAKE CHAKE,TZ,TZA,-5.25,39.76666667,171,61200,2,0,0,1,0,1,0,0,0,0,0
47030,46965,TANGA,TZ,TZA,-5.083333333,39.11666667,171,61200,2,0,1,1,1,1,0,1,0,0,0
47050,46965,ZANZIBAR,TZ,TZA,-6.166666667,39.18333333,171,61204/3,2,0,1,1,0,1,1,1,1,1,1
46750,46725,SALDANHA BAY,ZA,ZAF,-33.03333333,17.96666667,123,57471/2,3,1,1,0,1,1,1,1,1,1,0
46770,46725,CAPE TOWN,ZA,ZAF,-33.91666667,18.41666667,123,57484,4,1,1,1,1,1,1,1,1,1,3
46780,46725,SIMONSTOWN,ZA,ZAF,-34.18333333,18.43333333,171,57483,1,0,1,1,1,1,0,1,0,0,2
46800,46725,MOSSEL BAY,ZA,ZAF,-34.18333333,22.15,171,61051,2,1,1,1,1,1,1,1,1,1,2
46820,46725,PORT ELIZABETH,ZA,ZAF,-33.96666667,25.61666667,171,61061,3,1,1,1,1,1,1,1,1,1,0
46830,46725,EAST LONDON,ZA,ZAF,-33.03333333,27.91666667,171,61071,2,1,1,1,1,1,1,1,1,1,3
46850,46725,DURBAN,ZA,ZAF,-29.86666667,31.06666667,171,61092/1,4,1,1,1,1,1,1,1,1,1,3
46855,46725,RICHARDS BAY,ZA,ZAF,-28.81666667,32.08333333,171,61100,3,1,1,1,0,1,1,1,1,1,0
