id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
0,12/22/2016,,2,10,,FALSE,,0,,,,Open,,,,12.668889,43.334167,,,,,,UKMTO,,
0,12/23/2016,,3,,,FALSE,,0,,,,Open,,,,15.751944,41.300278,,,,,,UKMTO,,
0,6/16/2016,,,,,FALSE,,0,,,,Open,,,,11.867351,45.010986,,,,,,UKMTO and Risk Intelligence,,
0,7/1/2016,,1,,,FALSE,,0,,,,Open,,,,13.766667,50.733333,,,,,,"Risk Intelligence, UKMTO",,
0,12/5/2016,,,,,FALSE,,0,,,,Open,,,,4.466944,53.367222,,,,,,,,
0,10/27/2016,,,,,FALSE,,0,,,,Open,,,,13.6602,50.8243,,,,,,,,
0,10/1/2016,,,,,FALSE,,0,,,,Open,,,,,,,,,,,,,
0,10/9/2016,,,,,FALSE,,0,,,,Open,,,,,,,,,,,,,
0,1/7/2016,,,,,FALSE,,0,,,,Anchorage,,,,22.817,70.092,,,,,,ReCAAP,,
0,1/11/2016,,,,,TRUE,,0,,,,Anchorage,,,,22.781,69.983,Minor Robbery,,,,,"ReCAAP, ONI, MARLO PATS 21 JAN 16",,
0,1/11/2016,,,5,,FALSE,,0,,,,Anchorage,,,,22.767,69.983,,,,,,"ReCAAP,  MARLO PATS 21 JAN 16",,
0,1/25/2016,,1,5,,TRUE,,0,,,,Anchorage,,,,22.806,70.05,Minor Robbery,,,,,ReCAAP,,
0,1/28/2016,,,6,,FALSE,,0,,,,Anchorage,,,,22.817,70.117,Minor Robbery,,,,,"ReCAAP, http://worldmaritimenews.com/archives/181797/pirates-attack-croatian-tanker-in-indias-kandla-port/",,
0,2/2/2016,,,,,FALSE,,0,,,,Anchorage,,,,,,,,,,,MAST Report 03 February 2016,,
0,2/8/2016,,1,5,,TRUE,,0,,,,Anchorage,,,,22.808,70.025,Minor Robbery,,,,,ReCAAP,,
0,2/14/2016,,,4,,FALSE,,0,,,,Anchorage,,,,22.767,70,Minor Robbery,,,,,,,
0,5/25/2016,,1,5,,FALSE,,0,,,,Open,,,,,,,,,,,ReCAAP,,
0,10/28/2016,,,,,FALSE,,0,,,,Open,,,,,,,,,,,EUNAVFOR,,
0,1/1/2016,,,,,TRUE,,22,,,,,,,,38.81666667,118.8166667,Bunkering,,,,,,,FALSE
0,1/4/2016,,,,,TRUE,,22,,,,,,,,20.6875,107.1755556,Minor Robbery,,,,,,,FALSE
0,1/6/2016,,,10,,TRUE,,22,,,,,,,,20.71944444,107.175,Minor Robbery,,,,,,,FALSE
0,1/7/2016,,,,,FALSE,,18,,,,,,,,22.81666667,70.09166667,,,,,,,,TRUE
0,1/11/2016,,,,,TRUE,,22,,,,,,,,22.78055556,69.98333333,Minor Robbery,,,,,,,TRUE
0,1/11/2016,,,5,,FALSE,,20,,,,,,,,22.76666667,69.98333333,,,,,,,,TRUE
0,1/14/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,1/15/2016,,,3,,TRUE,,25,,,,,,,,0.744444444,104.1675,Minor Robbery,,,,,,,FALSE
0,1/17/2016,,1,,,TRUE,,5,,,,,,,,4.05,105.8666667,,,,,,,,FALSE
0,1/23/2016,,,,,TRUE,,,,,,,,,,17.65,83.4,Minor Robbery,,,,,,,FALSE
0,1/25/2016,,1,5,,TRUE,,20,,,,,,,,22.80638889,70.05,Minor Robbery,,,,,,,TRUE
0,1/28/2016,,,6,,TRUE,,22,,,,,,,,22.81666667,70.11666667,Minor Robbery,,,,,,,TRUE
0,2/2/2016,,,,,FALSE,,,,,,,,,,,,,,,,,,,TRUE
0,2/8/2016,,1,5,,TRUE,,20,,,,,,,,22.80833333,70.025,Minor Robbery,,,,,,,TRUE
0,2/9/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,2/14/2016,,,4,,FALSE,,22,,,,,,,,22.76666667,70,,,,,,,,TRUE
0,2/14/2016,,,,,TRUE,,20,,,,,,,,13.71666667,121.0333333,Minor Robbery,,,,,,,FALSE
0,2/14/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,2/19/2016,,6,,,TRUE,,11,,,,,,,,21.24444444,72.28333333,Minor Robbery,,,,,,,FALSE
0,2/19/2016,,,,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,3/4/2016,,,,,TRUE,,22,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,3/4/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,3/6/2016,,,,,TRUE,,11,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,3/10/2016,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE
0,3/22/2016,,,5,,TRUE,,22,,,,,,,,-6.116666667,106.8666667,Minor Robbery,,,,,,,FALSE
0,3/26/2016,,,17,,TRUE,,11,,,,,,,,5.266666667,120.0833333,,,,,,,,FALSE
0,3/30/2016,,3,,,FALSE,,22,,,,,,,,-6,106.9,,,,,,,,FALSE
0,4/1/2016,,,4,,TRUE,,22,,,,,,,,-0.255555556,117.5888889,Minor Robbery,,,,,,,FALSE
0,4/1/2016,,1,8,,TRUE,,11,,,,,,,,4.118055556,118.9075,Minor Robbery,,,,,,,FALSE
0,4/1/2016,,,6,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,4/3/2016,,,5,,TRUE,,20,,,,,,,,-5.994444444,106.9083333,,,,,,,,FALSE
0,4/6/2016,,1,2,,TRUE,,11,,,,,,,,1.269444444,104.0888889,Minor Robbery,,,,,,,FALSE
0,4/10/2016,,,,,TRUE,,24,,,,,,,,13.75944444,121.0172222,Minor Robbery,,,,,,,FALSE
0,4/12/2016,,,2,,TRUE,,20,,,,,,,,-6.919444444,110.3722222,Minor Robbery,,,,,,,FALSE
0,4/12/2016,,1,3,,FALSE,,30,,,,,,,,,,,,,,,,,FALSE
0,4/15/2016,,1,5,,TRUE,,10,,,,,,,,4.516666667,119,,,,,,,,FALSE
0,4/16/2016,,,5,,TRUE,,,,,,,,,,1.402777778,104.5666667,,,,,,,,FALSE
0,4/16/2016,,1,3,,TRUE,,11,,,,,,,,,,,,,,,,,FALSE
0,4/17/2016,,1,4,,FALSE,,18,,,,,,,,1.5,104.8666667,,,,,,,,FALSE
0,4/19/2016,,,1,,TRUE,,24,,,,,,,,3.933333333,98.75,,,,,,,,FALSE
0,4/21/2016,,1,,,FALSE,,22,,,,,,,,10.63333333,120.5666667,,,,,,,,FALSE
0,4/23/2016,,,,,TRUE,,24,,,,,,,,37.84722222,120.0416667,Bunkering,,,,,,,FALSE
0,4/25/2016,,1,4,,TRUE,,22,,,,,,,,1.159722222,103.9525,Minor Robbery,,,,,,,FALSE
0,4/29/2016,,,,,TRUE,,22,,,,,,,,38.93055556,119.2388889,Bunkering,,,,,,,FALSE
0,4/30/2016,,1,2,,TRUE,,24,,,,,,,,17.58333333,83.4,Minor Robbery,,,,,,,FALSE
0,5/4/2016,,,,,TRUE,,22,,,,,,,,-1.333333333,116.8666667,Minor Robbery,,,,,,,FALSE
0,5/4/2016,,,4,,TRUE,,22,,,,,,,,-0.25,117.6666667,Minor Robbery,,,,,,,FALSE
0,5/7/2016,,,9,,FALSE,,21,,,,,,,,-2.08,108.6575,Bunkering,,,,,,,FALSE
0,5/8/2016,,,1,,TRUE,,24,,,,,,,,3.355555556,109.6,,,,,,,,FALSE
0,5/8/2016,,,1,,TRUE,,24,,,,,,,,17.61694444,83.36666667,,,,,,,,FALSE
0,5/8/2016,,,,,TRUE,,24,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,5/9/2016,,1,,,TRUE,,20,,,,,,,,10.20277778,107.0736111,Minor Robbery,,,,,,,FALSE
0,5/10/2016,,3,,,FALSE,,24,,,,,,,,21.28888889,67.30555556,,,,,,,,TRUE
0,5/13/2016,,,5,,FALSE,,30,,,,,,,,,,,,,,,,,FALSE
0,5/15/2016,,1,7,,FALSE,,20,,,,,,,,22.1,91.75,,,,,,,,FALSE
0,5/18/2016,,,,,TRUE,,22,,,,,,,,-0.233333333,117.5666667,Minor Robbery,,,,,,,FALSE
0,5/19/2016,,,4,,TRUE,,60,,,,,,,,1.183333333,103.95,Minor Robbery,,,,,,,FALSE
0,5/21/2016,,,,,TRUE,,24,,,,,,,,-6.047222222,106.9,Minor Robbery,,,,,,,FALSE
0,5/21/2016,,1,6,,TRUE,,11,,,,,,,,1.166666667,103.9666667,,,,,,,,FALSE
0,5/21/2016,,2,10,,FALSE,,,,,,,,,,,,,,,,,,,FALSE
0,5/25/2016,,1,5,,FALSE,,11,,,,,,,,,,,,,,,,,TRUE
0,5/26/2016,,,12,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,6/2/2016,,2,,,TRUE,,11,,,,,,,,,,,,,,,,,FALSE
0,6/3/2016,,,,,TRUE,,10,,,,,,,,3.098333333,112.4497222,Bunkering,,,,,,,FALSE
0,6/8/2016,,,,,TRUE,,6,,,,,,,,,,,,,,,,,FALSE
0,6/14/2016,,,5,,TRUE,,20,,,,,,,,22.13333333,91.73333333,Minor Robbery,,,,,,,FALSE
0,6/14/2016,,1,,,TRUE,,12,,,,,,,,,,,,,,,,,FALSE
0,6/15/2016,,2,,,FALSE,,24,,,,,,,,8.284166667,150.8844444,,,,,,,,FALSE
0,6/16/2016,,1,5,,TRUE,,18,,,,,,,,1.175,103.9611111,Minor Robbery,,,,,,,FALSE
0,6/16/2016,,,3,,TRUE,,24,,,,,,,,,,,,,,,,,FALSE
0,6/18/2016,,1,3,,FALSE,,24,,,,,,,,1.685833333,101.4838889,,,,,,,,FALSE
0,6/18/2016,,1,5,,TRUE,,22,,,,,,,,1.695833333,101.5102778,,,,,,,,FALSE
0,6/21/2016,,,3,,TRUE,,22,,,,,,,,1.695833333,101.5102778,Minor Robbery,,,,,,,FALSE
0,6/22/2016,,2,,,TRUE,,13,,,,,,,,2.744444444,119.5927778,,,,,,,,FALSE
0,6/28/2016,,,10,,TRUE,,24,,,,,,,,3,105.1666667,Minor Robbery,,,,,,,FALSE
0,6/28/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,6/28/2016,,,2,,FALSE,,24,,,,,,,,-1.466666667,116.8,,,,,,,,FALSE
0,6/28/2016,,1,,,TRUE,,24,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,6/30/2016,,,,,TRUE,,5,,,,,,,,21.95,89.99611111,,,,,,,,FALSE
0,7/3/2016,,,,,TRUE,,22,,,,,,,,-0.251388889,117.6175,Minor Robbery,,,,,,,FALSE
0,7/9/2016,,,3,,TRUE,,7,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,7/10/2016,,,,,TRUE,,22,,,,,,,,-3.683333333,114.4166667,Minor Robbery,,,,,,,FALSE
0,7/15/2016,,1,5,,FALSE,,22,,,,,,,,-0.284722222,117.6677778,,,,,,,,FALSE
0,7/16/2016,,3,6,,TRUE,,24,,,,,,,,7.166666667,125.6666667,Minor Robbery,,,,,,,FALSE
0,7/16/2016,,,7,,TRUE,,22,,,,,,,,2.916666667,105.3166667,Minor Robbery,,,,,,,FALSE
0,7/16/2016,,1,3/4/2017,,TRUE,,22,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,7/17/2016,,,,,TRUE,,21,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,7/18/2016,,,,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,7/24/2016,,1,3,,TRUE,,22,,,,,,,,-0.216666667,117.55,Minor Robbery,,,,,,,FALSE
0,7/25/2016,,1,5,,FALSE,,11,,,,,,,,,,,,,,,,,FALSE
0,7/29/2016,,,2,,TRUE,,22,,,,,,,,10.2675,107.0397222,Minor Robbery,,,,,,,FALSE
0,8/3/2016,,,,,TRUE,,3,,,,,,,,,,,,,,,,,FALSE
0,8/7/2016,,,5,,TRUE,,17,,,,,,,,2.0025,104.8691667,Minor Robbery,,,,,,,FALSE
0,8/7/2016,,1,3,,TRUE,,22,,,,,,,,10.25138889,107.0238889,Minor Robbery,,,,,,,FALSE
0,8/12/2016,,"3, 1 mother vessel",,,FALSE,,24,,,,,,,,,,,,,,,,,FALSE
0,8/15/2016,,,,,FALSE,,5,,,,,,,,,,,,,,,,,FALSE
0,8/18/2016,,,4,,FALSE,,24,,,,,,,,,,,,,,,,,FALSE
0,8/19/2016,,1,4,,FALSE,,11,,,,,,,,1.183333333,103.8666667,,,,,,,,FALSE
0,8/25/2016,,,4,,TRUE,,13,,,,,,,,,,,,,,,,,FALSE
0,8/25/2016,,,,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,8/25/2016,,,,,TRUE,,,,,,,,,,,,,,,,,,,FALSE
0,8/28/2016,,,7,,TRUE,,1,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/6/2016,,,4,,TRUE,,22,,,,,,,,1.716666667,101.4333333,Minor Robbery,,,,,,,FALSE
0,9/7/2016,,,16,,FALSE,,,,,,,,,,,,,,,,,,,TRUE
0,9/8/2016,,,4,,TRUE,,24,,,,,,,,1.685555556,101.4852778,Minor Robbery,,,,,,,FALSE
0,9/9/2016,,,9,,TRUE,,18,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/10/2016,,,7,,TRUE,,16,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/10/2016,,,8,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/13/2016,,,,,TRUE,,20,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/14/2016,,,,,TRUE,,22,,,,,,,,22.21805556,91.68388889,Minor Robbery,,,,,,,FALSE
0,9/16/2016,,,,,TRUE,,11,,,,,,,,0.730555556,104.1666667,Minor Robbery,,,,,,,FALSE
0,9/16/2016,,,,,TRUE,,18,,,,,,,,-5.5,105.2833333,Minor Robbery,,,,,,,FALSE
0,9/18/2016,,,,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/20/2016,,,,,TRUE,,5,,,,,,,,,,Large Scale Robbery,,,,,,,FALSE
0,9/21/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,9/25/2016,,,3,,TRUE,,22,,,,,,,,-7.766666667,109.0666667,Minor Robbery,,,,,,,FALSE
0,9/27/2016,,,6,,TRUE,,27,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/27/2016,,,6,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/27/2016,,,3,,TRUE,,18,,,,,,,,10.25,107.0166667,Minor Robbery,,,,,,,FALSE
0,10/1/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,10/2/2016,,1,3,,TRUE,,22,,,,,,,,-5.483333333,105.2833333,Minor Robbery,,,,,,,FALSE
0,10/4/2016,,,,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,10/6/2016,,,4,,TRUE,,22,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,10/6/2016,,,4,,TRUE,,22,,,,,,,,1.701388889,101.4841667,Minor Robbery,,,,,,,FALSE
0,10/8/2016,,3,,,FALSE,,22,,,,,,,,,,,,,,,,,FALSE
0,10/12/2016,,1,3,,FALSE,,22,,,,,,,,10.26722222,107.0636111,,,,,,,,FALSE
0,10/12/2016,,,4,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,10/20/2016,,,,,TRUE,,24,,,,,,,,1.7125,101.4644444,Minor Robbery,,,,,,,FALSE
0,10/20/2016,,1,10,,TRUE,,18,,,,,,,,4.535833333,119.5513889,Minor Robbery,,,,,,,FALSE
0,10/24/2016,,1,6,,TRUE,,9,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,10/25/2016,,2,10,,TRUE,,10,,,,,,,,4.146666667,112.5,Minor Robbery,,,,,,,FALSE
0,10/25/2016,,,,,TRUE,,2,,,,,,,,,,,,,,,,,FALSE
0,10/26/2016,,1,,,FALSE,,20,,,,,,,,10.39055556,107.0541667,,,,,,,,FALSE
0,11/5/2016,,,5,,TRUE,,3,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,11/5/2016,,,5,,TRUE,,4,,,,,,,,,,,,,,,,,FALSE
0,11/5/2016,,1,2,,TRUE,,24,,,,,,,,-6.037777778,106.8891667,Minor Robbery,,,,,,,FALSE
0,11/6/2016,,,,,FALSE,,24,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,11/6/2016,,,,,TRUE,,2,,,,,,,,,,,,,,,,,FALSE
0,11/9/2016,,,10,,TRUE,,24,,,,,,,,1.684722222,101.5005556,Minor Robbery,,,,,,,FALSE
0,11/11/2016,,,10,,TRUE,,18,,,,,,,,6.666666667,122.5166667,Minor Robbery,,,,,,,FALSE
0,11/13/2016,,6,,,FALSE,,24,,,,,,,,3.667777778,119.8516667,,,,,,,,FALSE
0,11/15/2016,,,,,TRUE,,22,,,,,,,,1.433888889,104.7513889,Minor Robbery,,,,,,,FALSE
0,11/16/2016,,1,5,,FALSE,,22,,,,,,,,4.384444444,119.5166667,,,,,,,,FALSE
0,11/19/2016,,,,,TRUE,,22,,,,,,,,-0.25,117.5888889,Minor Robbery,,,,,,,FALSE
0,11/19/2016,,1,5,,TRUE,,5,,,,,,,,4.820833333,118.7727778,Minor Robbery,,,,,,,FALSE
0,11/20/2016,,,,,FALSE,,22,,,,,,,,,,,,,,,,,FALSE
0,11/20/2016,,,5,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,11/20/2016,,1,,,FALSE,,22,,,,,,,,5.568888889,119.7858333,,,,,,,,FALSE
0,11/20/2016,,1,2,,FALSE,,22,,,,,,,,-3.683333333,114.4166667,,,,,,,,FALSE
0,11/23/2016,,1,8,,FALSE,,22,,,,,,,,6.363888889,119.9055556,,,,,,,,FALSE
0,11/23/2016,,2,2,,FALSE,,22,,,,,,,,10.26666667,107.0055556,,,,,,,,FALSE
0,11/24/2016,,1,10,,FALSE,,22,,,,,,,,5.785277778,119.8522222,,,,,,,,FALSE
0,11/24/2016,,1,7,,FALSE,,22,,,,,,,,5.918333333,119.8338889,,,,,,,,FALSE
0,11/25/2016,,1,10,,FALSE,,22,,,,,,,,5.802777778,119.8583333,,,,,,,,FALSE
0,11/26/2016,,1,,,FALSE,,20,,,,,,,,10.39055556,107.0541667,,,,,,,,FALSE
0,11/26/2016,,,,,TRUE,,5,,,,,,,,,,,,,,,,,TRUE
0,11/26/2016,,,,,TRUE,,11,,,,,,,,1.183333333,103.65,Minor Robbery,,,,,,,FALSE
0,12/1/2016,,,3,,FALSE,,18,,,,,,,,-3.6675,114.4505556,,,,,,,,FALSE
0,12/1/2016,,1,4,,FALSE,,,,,,,,,,-7.766666667,109.0666667,Minor Robbery,,,,,,,FALSE
0,12/2/2016,,,,,FALSE,,22,,,,,,,,1.085833333,104.1666667,,,,,,,,FALSE
0,12/5/2016,,1,,,TRUE,,5,,,,,,,,,,,,,,,,,FALSE
0,12/7/2016,,1,2,,TRUE,,22,,,,,,,,-0.244166667,117.5858333,Minor Robbery,,,,,,,FALSE
0,12/8/2016,,1,3,,FALSE,,22,,,,,,,,5.484166667,119.6344444,,,,,,,,FALSE
0,12/8/2016,,1,7,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,12/8/2016,,1,7,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,12/8/2016,,1,7,,TRUE,,5,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,12/8/2016,,,3,,TRUE,,22,,,,,,,,-0.302777778,117.675,Minor Robbery,,,,,,,FALSE
0,12/20/2016,,,,,TRUE,,4,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,12/20/2016,,,10,,TRUE,,40,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,12/29/2016,,,2,,FALSE,,24,,,,,,,,1.702777778,101.5047222,,,,,,,,FALSE
