id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
48,7/14/2016,Direct,,8,Robbery;Successful Boarding,FALSE,Amazon Discovery,,Passenger,,30,Open water,Steaming,Riverine,Peru Riverine,-3.735555649,-73.1883316,TRUE,Guns,Large Scale Robbery,"$26,000 in personal equipment and cash",captain beat with pistol,http://www.cruiselawnews.com/2016/07/articles/fires-1/fire-bandits-plague-amazon-river-cruises-in-peru/,"eight robbers boarded the cruise ship AMAZON DISCOVERY, and robbed the
passengers of approximately $26,000 in personal equipment and cash.",
49,7/17/2016,Visual,,,Successful Boarding,FALSE,BW Egret,20,Tanker,,,Anchorage,Anchored,Territorial,Port Au Prince East Anchorage,18.56666756,-72.3833313,FALSE,,,,,,"Duty crewman on routine rounds noticed the robbers and raised the
alarm. Seeing the crew?s alertness, the robbers jumped overboard and escaped empty-handed.",
50,7/20/2016,Visual,1,2,Failed Boarding,FALSE,Danubia,20,Tanker,Liberia,,Anchorage,Anchored,Territorial,"Talara Roads, Peru",,,FALSE,,,,,,During routine rounds the crew noticed a small boat near the starboard anchor. One robber in boat and one lcimbing up anchor chain.  robbers escaped in boat,
51,7/30/2016,Direct,,2,Hostage/Kidnapping;Successful Boarding,FALSE,Unknown,2,Yacht,,,Anchorage,Anchored,Territorial,Grenada,,,FALSE,,,,Two assaulted,http://www.msrisk.com/wp-content/uploads/2016/08/Maritime-Security-Review-1-7-August-2016.pdfhttps://www.safetyandsecuritynet.com/recent_incidents/,See excel sheet for all details (too long for access database),
52,8/2/2016,Visual,1,3,Failed Boarding;Suspicious Activity,FALSE,Unknown,2,Yacht,,,Open water,Steaming,Territorial,"10nm NE of Boca Monos, Trinidad and Tobago",,,FALSE,,,,,http://www.msrisk.com/wp-content/uploads/2016/08/Maritime-Security-Review-1-7-August-2016.pdf,"The pirogue
pulled up alongside and tried to get as close to the yacht as feasible. Two men were standing and one tried to hold
on to the hull of the yacht but the sea state was too rough.",
53,9/2/2016,Direct,1,2,Robbery;Successful Boarding,FALSE,Century Melody,22,Bulk Carrier,Panama,,Anchorage,Anchored,Territorial,"Port Au Prince, Haiti",18.56777763,-72.53500366,TRUE,Knives;Other,Minor Robbery,ship stores,,,Two robbers board anchored ship and threaten duty crew with long knife and stones. Alarm raised crew mustered. Robbers escape in small boat with stolen ship stores.,
54,9/1/2016,Direct,,10,Robbery;Successful Boarding,FALSE,Unknown,,Passenger,,260,Open water,Steaming,Riverine,"Belem, Brazil",,,TRUE,,Minor Robbery,passenger goods,,"https://www.theguardian.com/world/2011/jun/17/brazil-amazon-pirates, http://www.nytimes.com/2016/11/19/world/americas/brazil-amazon-pirates-riverboats-rain-forest.html?_r=0","in September 2016 10 masked men stormed a passenger ship near the city of Bel?m, robbing 260 passengers at once. The attackers used one woman aboard as a human shield during the ordeal.",
55,9/22/2016,Unseen,4,,Robbery;Successful Boarding,FALSE,Americas Spirit,18,Tanker,Panama,,Anchorage,Anchored,Territorial,"Barcelona Anchorage, Venezuela",10.14999962,-64.76667023,TRUE,,Minor Robbery,ship property,,,"Robbers disguised as fishermen approached and
boarded the tanker, stole ship?s properties and escaped unnoticed.",
56,10/1/2016,Direct,,4,Robbery;Successful Boarding,FALSE,Unknown,18,fuel ship,,,Open water,Steaming,Riverine,"Solimoes River, Brazil",,,TRUE,Guns,Bunkering,"2,600 gallons of diesel fuel, along with the cash, watches and clothing of the crew",,"http://www.nytimes.com/2016/11/19/world/americas/brazil-amazon-pirates-riverboats-rain-forest.html?_r=0, http://www.insightcrime.org/news-briefs/pirates-terrorizing-brazilian-amazon-highlights-regional-security-concern","(More like Minor robbery and in ) four masked pirates with rifles took over a fuel ship on the Solim?es River and stole more than 2,600 gallons of diesel fuel, along with the cash, watches and clothing of the crew",
57,10/6/2016,Unseen,1,,Robbery;Successful Boarding,FALSE,Kumano Lily,17,General Cargo,Panama,,Anchorage,Anchored,Territorial,"Callao Anchorage, Peru",-12.01694489,-77.1838913,TRUE,,Minor Robbery,ship's properties,,,"Robbers in a wooden skiff approach and boarded an anchored
general cargo ship. The theft was discovered by the duty AB during
routine rounds.",
58,10/10/2016,Direct,1,,Successful Boarding,FALSE,Unknown,2,yacht,,,Anchorage,Anchored,Territorial,"Chateaubelair, saint vincent & grenadines",,,FALSE,Knives,,,Unknown injury suffered while defending against attackers,NCAGS,"boarded by
armed men with machetes who injured the captain as he forced the attackers back to their boat.",
59,10/14/2016,Visual,1,4,Failed Boarding,FALSE,Betula Arrow,17,General Cargo,Panama,,Anchorage,Anchored,Territorial,"Outside Callao Anchorage, Peru",-12.00722218,-77.17333221,FALSE,,,,,,"Alert crew noticed the robbers,
raised the alarm and activated the pressurized fire hoses
resulting in the robbers aborting the attempted attack and moving
away.",
60,11/26/2016,Direct,at least 2,11,Robbery;Successful Boarding,FALSE,Global Explorer and Vikrant Dolphin,50,Offshore Supply Vessel,,,Anchorage,Anchored,Territorial,"Dos Bocas Anchorage, Tabasco State, Mexico",,,TRUE,Armed (Unspecified),Minor Robbery,"equipment, cargo and crews? belongings",,Maritime Herald,"Eleven armed men boarded
the ships about 0200 local time and stole equipment, cargo and crews? belongings. Crews hid in the citadels until a
security team arrived. Pirates fled in their boats",
